Date,"Cell_A,V","DMM1_TEMP,°C","DMM2_TEMP,°C","DMM3_TEMP,°C","Ambient temp,°C",Ambient RH%,"Ambient pressure, hPa","Airbath temp,°C"
18/10/2022-00:43:38,10.0000140,36.5,36.8,35.7,22.918,39.5,997.4,23.064
18/10/2022-00:43:45,10.0000140,36.5,36.8,35.7,22.923,39.5,997.4,23.062
18/10/2022-00:43:53,10.0000141,36.5,36.8,35.7,22.923,39.5,997.4,23.062
18/10/2022-00:44:03,10.0000140,36.5,36.8,35.7,22.928,39.5,997.4,23.062
18/10/2022-00:44:12,10.0000140,36.5,36.8,35.7,22.918,39.5,997.4,23.06
18/10/2022-00:44:21,10.0000140,36.5,36.8,35.7,22.928,39.5,997.3,23.062
18/10/2022-00:44:30,10.0000140,36.5,36.8,35.7,22.918,39.5,997.3,23.061
18/10/2022-00:44:39,10.0000136,36.5,36.8,35.7,22.933,39.5,997.3,23.06
18/10/2022-00:44:48,10.0000137,36.5,36.8,35.7,22.913,39.5,997.3,23.058
18/10/2022-00:44:57,10.0000134,36.5,36.8,35.7,22.928,39.5,997.4,23.056
18/10/2022-00:45:05,10.0000137,36.5,36.8,35.7,22.923,39.5,997.3,23.057
18/10/2022-00:45:14,10.0000135,36.5,36.8,35.7,22.923,39.5,997.4,23.054
18/10/2022-00:45:23,10.0000135,36.5,36.8,35.7,22.928,39.5,997.4,23.052
18/10/2022-00:45:32,10.0000139,36.5,36.8,35.7,22.923,39.5,997.4,23.052
18/10/2022-00:45:40,10.0000141,36.5,36.8,35.7,22.923,39.5,997.2,23.054
18/10/2022-00:45:49,10.0000142,36.5,36.8,35.7,22.923,39.5,997.4,23.051
18/10/2022-00:45:58,10.0000136,36.5,36.8,35.7,22.923,39.5,997.3,23.054
18/10/2022-00:46:27,10.0000138,36.5,36.8,35.7,22.923,39.5,997.3,23.055
18/10/2022-00:46:35,10.0000133,36.5,36.8,35.7,22.923,39.5,997.4,23.057
18/10/2022-00:46:42,10.0000136,36.5,36.8,35.7,22.913,39.5,997.3,23.056
18/10/2022-00:46:50,10.0000135,36.5,36.8,35.7,22.923,39.5,997.4,23.054
18/10/2022-00:46:57,10.0000133,36.5,36.8,35.7,22.923,39.5,997.4,23.054
18/10/2022-00:47:04,10.0000130,36.5,36.8,35.7,22.923,39.5,997.4,23.058
18/10/2022-00:47:13,10.0000134,36.5,36.8,35.7,22.918,39.5,997.4,23.058
18/10/2022-00:47:21,10.0000137,36.5,36.8,35.7,22.923,39.5,997.4,23.057
18/10/2022-00:47:31,10.0000137,36.5,36.8,35.7,22.923,39.5,997.4,23.058
18/10/2022-00:47:40,10.0000134,36.5,36.8,35.7,22.928,39.5,997.4,23.057
18/10/2022-00:47:48,10.0000138,36.5,36.8,35.7,22.933,39.5,997.4,23.058
18/10/2022-00:47:57,10.0000139,36.5,36.8,35.7,22.923,39.5,997.3,23.058
18/10/2022-00:48:06,10.0000141,36.5,36.8,35.7,22.928,39.5,997.4,23.058
18/10/2022-00:48:15,10.0000143,36.5,36.8,35.7,22.913,39.5,997.4,23.056
18/10/2022-00:48:25,10.0000143,36.5,36.8,35.7,22.918,39.5,997.4,23.058
18/10/2022-00:48:34,10.0000140,36.5,36.8,35.7,22.928,39.5,997.4,23.054
18/10/2022-00:48:43,10.0000141,36.5,36.8,35.7,22.923,39.5,997.4,23.054
18/10/2022-00:48:52,10.0000141,36.5,36.8,35.7,22.923,39.5,997.3,23.057
18/10/2022-00:49:02,10.0000141,36.5,36.8,35.7,22.923,39.5,997.3,23.057
18/10/2022-00:49:11,10.0000141,36.5,36.8,35.7,22.918,39.5,997.4,23.059
18/10/2022-00:49:40,10.0000141,36.4,36.8,35.6,22.918,39.5,997.4,23.059
18/10/2022-00:49:47,10.0000140,36.4,36.8,35.6,22.918,39.5,997.3,23.061
18/10/2022-00:49:54,10.0000137,36.4,36.8,35.6,22.923,39.5,997.4,23.061
18/10/2022-00:50:01,10.0000138,36.4,36.8,35.6,22.928,39.5,997.4,23.06
18/10/2022-00:50:09,10.0000137,36.4,36.8,35.6,22.923,39.5,997.4,23.058
18/10/2022-00:50:16,10.0000134,36.4,36.8,35.6,22.923,39.5,997.4,23.059
18/10/2022-00:50:25,10.0000137,36.4,36.8,35.6,22.923,39.5,997.3,23.06
18/10/2022-00:50:34,10.0000135,36.4,36.8,35.6,22.918,39.5,997.3,23.063
18/10/2022-00:50:42,10.0000137,36.4,36.8,35.6,22.918,39.5,997.3,23.066
18/10/2022-00:50:51,10.0000139,36.4,36.8,35.6,22.913,39.5,997.3,23.064
18/10/2022-00:51:01,10.0000138,36.4,36.8,35.6,22.923,39.5,997.3,23.063
18/10/2022-00:51:09,10.0000143,36.4,36.8,35.6,22.923,39.5,997.3,23.062
18/10/2022-00:51:18,10.0000140,36.4,36.8,35.6,22.918,39.5,997.3,23.062
18/10/2022-00:51:28,10.0000141,36.4,36.8,35.6,22.923,39.5,997.3,23.061
18/10/2022-00:51:37,10.0000142,36.4,36.8,35.6,22.918,39.5,997.3,23.06
18/10/2022-00:51:46,10.0000144,36.4,36.8,35.6,22.913,39.5,997.3,23.06
18/10/2022-00:51:55,10.0000142,36.4,36.8,35.6,22.918,39.5,997.2,23.061
18/10/2022-00:52:04,10.0000135,36.4,36.8,35.6,22.918,39.5,997.3,23.062
18/10/2022-00:52:13,10.0000136,36.4,36.8,35.6,22.923,39.5,997.3,23.064
18/10/2022-00:52:22,10.0000135,36.4,36.8,35.6,22.918,39.5,997.3,23.064
18/10/2022-00:52:51,10.0000134,36.4,36.8,35.6,22.923,39.5,997.3,23.065
18/10/2022-00:52:58,10.0000136,36.4,36.8,35.6,22.908,39.5,997.3,23.068
18/10/2022-00:53:06,10.0000138,36.4,36.8,35.6,22.918,39.5,997.3,23.068
18/10/2022-00:53:14,10.0000130,36.4,36.8,35.6,22.918,39.5,997.3,23.071
18/10/2022-00:53:21,10.0000125,36.4,36.8,35.6,22.918,39.4,997.3,23.072
18/10/2022-00:53:28,10.0000125,36.4,36.8,35.6,22.923,39.4,997.3,23.071
18/10/2022-00:53:37,10.0000128,36.4,36.8,35.6,22.913,39.5,997.3,23.069
18/10/2022-00:53:46,10.0000128,36.4,36.8,35.6,22.913,39.5,997.3,23.07
18/10/2022-00:53:55,10.0000127,36.4,36.8,35.6,22.918,39.5,997.3,23.072
18/10/2022-00:54:03,10.0000127,36.4,36.8,35.6,22.918,39.4,997.3,23.073
18/10/2022-00:54:12,10.0000129,36.4,36.8,35.6,22.913,39.5,997.3,23.074
18/10/2022-00:54:21,10.0000126,36.4,36.8,35.6,22.918,39.4,997.4,23.073
18/10/2022-00:54:30,10.0000128,36.4,36.8,35.6,22.903,39.4,997.4,23.071
18/10/2022-00:54:39,10.0000127,36.4,36.8,35.6,22.903,39.4,997.3,23.072
18/10/2022-00:54:48,10.0000129,36.4,36.8,35.6,22.903,39.4,997.3,23.075
18/10/2022-00:54:57,10.0000127,36.4,36.8,35.6,22.913,39.4,997.3,23.074
18/10/2022-00:55:06,10.0000133,36.4,36.8,35.6,22.913,39.5,997.3,23.074
18/10/2022-00:55:16,10.0000131,36.4,36.8,35.6,22.913,39.4,997.4,23.073
18/10/2022-00:55:24,10.0000125,36.4,36.8,35.6,22.908,39.4,997.4,23.072
18/10/2022-00:55:33,10.0000132,36.4,36.8,35.6,22.908,39.5,997.3,23.074
18/10/2022-00:56:03,10.0000132,36.4,36.7,35.5,22.908,39.5,997.3,23.075
18/10/2022-00:56:10,10.0000132,36.4,36.7,35.5,22.908,39.4,997.3,23.076
18/10/2022-00:56:17,10.0000130,36.4,36.7,35.5,22.913,39.4,997.4,23.077
18/10/2022-00:56:25,10.0000131,36.4,36.7,35.5,22.908,39.5,997.4,23.077
18/10/2022-00:56:32,10.0000134,36.4,36.7,35.5,22.913,39.4,997.4,23.075
18/10/2022-00:56:39,10.0000133,36.4,36.7,35.5,22.913,39.4,997.4,23.078
18/10/2022-00:56:48,10.0000134,36.4,36.7,35.5,22.913,39.4,997.4,23.078
18/10/2022-00:56:56,10.0000134,36.4,36.7,35.5,22.913,39.4,997.3,23.079
18/10/2022-00:57:05,10.0000133,36.4,36.7,35.5,22.908,39.4,997.3,23.08
18/10/2022-00:57:14,10.0000133,36.4,36.7,35.5,22.918,39.5,997.4,23.078
18/10/2022-00:57:23,10.0000134,36.4,36.7,35.5,22.903,39.4,997.4,23.077
18/10/2022-00:57:32,10.0000131,36.4,36.7,35.5,22.903,39.4,997.3,23.078
18/10/2022-00:57:42,10.0000130,36.4,36.7,35.5,22.913,39.4,997.4,23.079
18/10/2022-00:57:51,10.0000129,36.4,36.7,35.5,22.913,39.4,997.3,23.08
